A&A	Astronomy and Astrophysics
PVasO	Publications of the Vassar College Observatory
PW&SO	Publications of the Warner & Swasey Observatory
PWHHO	Publications of West Hendon House Observatory, Sunderland
PWP	Physics of Wave Phenomena
PWasO	Publications of the Washburn Observatory
PYerO	Publications of the Yerkes Observatory
PYunO	Publications of the Yunnan Observatory
PZ	Peremennye Zvezdy
PZETF	Pisma v Zhurnal Eksperimentalnoi i Teoreticheskoi Fiziki
PZP	Peremennye Zvezdy Prilozhenie
PZhTF	Pisma v Zhurnal Tekhnischeskoi Fiziki
PaPa	Paleoceanography and Paleoclimatology
PaReL	Pattern Recognition Letters
PadCR	Osservatorio Astronomico di Padova Comunicazioni e Rassegne
PalOc	Paleoceanography
Palae	Palaeoworld
Palai	PALAIOS
Palb	Paleobiology
ParC	Parallel Computing
Paras	Parasitology
Parti	Particles
PatRe	Pattern Recognition
PcPb	Photochemistry and Photobiology
PerCo	Perkins Observatory Contributions
PerMS	Perceptual Motor Skills
PerOC	Perth Observatory Communication
PerSc	Perspectives in Science
PetCh	Petroleum Chemistry: U.S.S.R
PetRe	Petroleum Research
PetSc	Petroleum Science
Pg	Photogrammetria
PgE	Photogrammetric Engineering
PgERS	Photogrammetric Engineering and Remote Sensing
PhApp	Physics and its Applications
PhB	Physics Bulletin
PhBio	Physical Biology
PhChE	Physics and Chemistry of the Earth
PhChH	PhysicoChemical Hydrodynamics
PhDT	Ph.D. Thesis
PhFl	Physics of Fluids
PhFlA	Physics of Fluids A
PhFlB	Physics of Fluids B
PhInt	Photo Interpretation
PhL	Physics Letters
PhLA	Physics Letters A
PhLB	Physics Letters B
PhLC	Physics Letters Section C Physics Reports C
PhLF	Physics Laser Fusion
PhLRv	Physics of Life Reviews
PhMet	Physics of Metals
PhNan	Photonics and Nanostructures
PhP	Physics in Perspective
PhPl	Physics of Plasmas
PhPro	Physics Procedia
PhQE	Physics of Quantum Electronics
PhR	Physics Reports
PhRv	Physical Review
PhRvA	Physical Review A
PhRvB	Physical Review B
PhRvC	Physical Review C
PhRvD	Physical Review D
PhRvE	Physical Review E
PhRvF	Physical Review Fluids
PhRvI	Physical Review Series I
PhRvL	Physical Review Letters
PhRvM	Physical Review Materials
PhRvP	Physical Review Applied
PhRvR	Physical Review Research
PhRvS	Physical Review Accelerators and Beams
PhRvX	Physical Review X
PhSRv	Physical Sciences Reviews
PhSS	Physics of the Solid State
PhST	Physica Scripta Volume T
PhSen	Photonic Sensors
PhT	Physics Today
PhTea	The Physics Teacher
PhTec	Physics in Technology
PhaTr	Phase Transitions, A Multinational Journal
PhiJR	Philips Journal Research
PhiRR	Philips Research Reports
PhiTR	Philips Technical Review
PhoSp	Photonics Spectra
Phoen	Phoenix Mitteilungsblatt fuer Veraenderlichenbeobachter
Phot	Photoniques
Photo	Photonics for Solar Energy Systems IX
PhuZ	Physik in unserer Zeit
Phy	Physica
PhyA	Physica A Statistical Mechanics and its Applications
PhyB	Physica B Condensed Matter
PhyBC	Physica B+C
PhyBl	Physikalische Bl&auml;tter
PhyC	Physica C Superconductivity
PhyD	Physica D Nonlinear Phenomena
PhyE	Physica E Low-Dimensional Systems and Nanostructures
PhyEd	Physics Education
PhyEs	Physics Essays
PhyG	Physikalische Gesellschaft
PhyGZ	Physikalische Gesellschaft Z&uuml;rich
PhyIn	Physics International
PhyM	Physiological Measurement
PhyMe	Physical Mesomechanics
PhyN	Physics Notes
PhyNY	Physics New York
PhyNr	Physica Norvegica
PhyO	Physics Open
PhyOJ	Physics Online Journal
PhyR	Physical Research
PhyS	Physica Scripta
PhySB	Physica Scripta B
PhyU	Physics Uspekhi
PhyW	Physics World
PhyZ	Physikalische Zeitschrift
PhylS	Physiologist Supplement
Physi	Physics
PlAst	Planetary Astronomy
PlDO	Plasma Devices and Operations
PlJ	The Plant Journal
PlPh	Plasma Physics
PlPhR	Plasma Physics Reports
PlPo	Plasmas and Polymers
PlR	Planetary Report
PlREx	Plasma Research Express
PlST	Plasma Science and Technology
PlSci	Planetary Science
Plan	Planet
PlanS	Planet Science
Plrfs	Polarforschung
PnGid	Pnevmatika i Gidravlika
PoAn	Postepy Astronautyki
PoAst	Postepy Astronomii Krakow
PoCom	Polymer Composites
PoMec	Polymer Mechanics
PoS	Proceedings of Science
PolAt	Pollution Atmospherique
PolPP	Poluprovodnikovye Pribory i ikh Primenenie
PolPh	Polymer Physics
PolRe	National Institute Polar Research Memoirs
PolSc	Polar Science
PolSi	Poliarnye Siianiia
PolTM	Poluprovodnikovaia Tekhnika i Mikroelektronika
Polar	Polarforschung
Poly	Polymer
Polyt	Polytechnica
PomAK	Pomiary Automatyka Kontrola
PorMe	Poroshkovaia Metallurgiia
PotUr	Potins d'Uranie
PowM	Powder Metallurgy
PrA	Progress in Astronomy
PrAA	Progress in Astronautics and Aeronautics
PrAeS	Progress in Aerospace Sciences
PrAiA	Problemy Arktiki i Antarktiki
PrAst	Practical Astronomy
PrAtO	Leningrad Gidrometeoizdat Sovremennye Problemy Atmosfernoi Optiki
PrBio	Problemy Bioniki
PrCmg	Problems of Cosmogeny
PrDRV	Problemy Difraktsii i Rasprostraneniia Voln
PrDS	Progress in Disaster Science
PrECS	Progress in Energy and Combustion Science
PrEM	Probabilistic Engineering Mechanics
PrEPS	Procedia Earth and Planetary Science
PrEne	Progress in Energy
PrEx	Propellants and Explosives
PrExP	Propellants and Explosives Pyrotechnics
PrFA	Problemy Fiziki Atmosfery
PrFKL	Problemy Iadernoi Fiziki i Kosmicheskikh Luchei
PrGA	Proceedings of the Geologists' Association
PrIA	Proceedings of the Imperial Academy
PrICA	Proceedings of the ICA
PrKFi	Problemy Kosmicheskoi Fiziki
PrMS	Progress in Materials Science
PrMas	Problemy Mashinostroeniia
PrMet	Practical Metallography
PrOce	Progress in Oceanography
PrOpt	Progess in Optics
PrPG	Progress in Physical Geography
PrPNP	Progress in Particle and Nuclear Physics
PrPh	Progress in Physics
PrPro	Problemy Prochnosti
PrSP	Problemy Sluchainogo Poiska
PrSS	Progress In Surface Science
PrTE	Problemy Tekhnicheskoi Elektrodinamiki
PrTGE	Problemy Teorii Gravitatsii i Elementarnykh Chastits
PrTPT	Problemy Teploenergetiki i Prikladnoi Teplofiziki
PrUkr	Akademiia Nauk Ukrains koi RSR Dopovidi Matematika Prirodoznavstvo Tekhnichni Nauki
PrVP	Proceedings of Vibration Problems
PraAc	Prague Academia
Prama	Pramana
PreR	Precambrian Research
PriM	Prikladnaia Mekhanika
PriMM	Prikladnaia Matematika i Mekhanika
PriMP	Prikladnaia Matematika i Programmirovanie
PriTE	Pribory i Tekhnika Eksperimenta
Prib	Priborostroenie
Prir	Priroda
Priv	Private Communication
ProTe	Promyshlennaia Teplotekhnika
Psyn	Photosynthetica
PsynR	Photosynthesis Research
QApMa	Quarterly of Applied Mathematics
QBS	Quantum Beam Science
QBSA	Quarterly Bulletin on Solar Activity
QJMAM	Quarterly Journal of Mechanics and Applied Mathematics
QJMat	The Quarterly Journal of Mathematics
QJPAM	The Quarterly Journal of Pure and Applied Mathematics
QJRAS	Quarterly Journal of the Royal Astronomical Society
QJRMS	Quarterly Journal of the Royal Meteorological Society
QMQM	Quantum Measurements and Quantum Metrology
QRBio	Quarterly Reviews of Biophysics
QREI	Quality Reliability Engineering International
QS&T	Quantum Science and Technology
QSAdv	Quaternary Science Advances
QSRv	Quaternary Science Reviews
QuEle	Quantum Electronics
QuFin	Quantitative Finance
QuGeo	Quaternary Geochronology
QuIP	Quantum Information Processing
QuInt	Quaternary International
QuOpt	Quantum Optics
QuRes	Quaternary Research
QuSOp	Quantum and Semiclassical Optics
R&QE	Radiophysics and Quantum Electronics
RA	Ricerche Astronomiche
RAA	Research in Astronomy and Astrophysics
RALR	Rutherford Appleton Laboratory Report
RAOU	Recherches Astronomiques de l'Observatoire d'Utrecht
RAROC	Results of Astronomical Observations made at the Royal Observatory, Cape of Good Hope
RASTI	RAS Techniques and Instruments
RArtR	Rock Art Research
RBrFi	Revista Brasileira de Fisica
RCAR	Research in Cold and Arid Regions
RCD	Regular and Chaotic Dynamics
RCMS	Rapid Communications in Mass Spectrometry
RDR	Review of Derivatives Research
RDTM	Radiation Detection Technology and Methods
REDS	Radiation Effects and Defects in Solids
REEP	Radio Engineering and Electronic Physics
REES	Renewable Energy and Environmental Sustainability
RELEA	Latin American Journal of Astronomy Education
RF	Raumfahrtforschung
RFrG	Revue Francaise de Geotechnique
RFrM	Revue Francaise de Mecanique
RGAO	Astronomical Observations made at the Royal Observatory at Greenwich
RGG	Reports on Geodesy and Geoinformatics
RGOB	Royal Greenwich Observatory Bulletins
RGRH	Rep. Hydrograph. Res. Japan
RHRJ	Report of Hydrographic Researches in Japan
RIG	Rivista Italiana di Geofisica
RJARA	Russian Journal of Astrophysical Research Series A
RJMP	Russian Journal of Mathematical Physics
RJPCA	Russian Journal of Physical Chemistry A
RJPh	Research Journal of Physics
RLOpt	Research Letters in Optics
RLPhy	Research Letters in Physics
RLSFN	Rendiconti Lincei. Scienze Fisiche e Naturali
RMBu	Rock Mechanics Bulletin
RMFMR	Rock Mechanics Felsmechanik Mecanique des Roches
RMRE	Rock Mechanics and Rock Engineering
RMTME	USSR Rept Machine Tools Metalworking Equipment JPRS UMM
RMxAA	Revista Mexicana de Astronomia y Astrofisica
RMxAA...3	Revista Mexicana de Astronomia y Astrofisica, vol.  3
RMxAA...6	Revista Mexicana de Astronomia y Astrofisica, vol.  6
RMxAA...7	Revista Mexicana de Astronomia y Astrofisica, vol.  7
RMxAA..10	Revista Mexicana de Astronomia y Astrofisica, vol. 10
RMxAA..12	Revista Mexicana de Astronomia y Astrofisica, vol. 12
RMxAA..14	Revista Mexicana de Astronomia y Astrofisica, vol. 14
RMxAA..18	Revista Mexicana de Astronomia y Astrofisica, vol. 18
RMxAA..19	Revista Mexicana de Astronomia y Astrofisica, vol. 19
RMxAA..21	Revista Mexicana de Astronomia y Astrofisica, vol. 21
RMxAA..23	Revista Mexicana de Astronomia y Astrofisica, vol. 23
RMxAA..26	Revista Mexicana de Astronomia y Astrofisica, vol. 26
RMxAA..29	Revista Mexicana de Astronomia y Astrofisica, vol. 29
RMxAC	Revista Mexicana de Astronomia y Astrofisica Conference Series
RMxAC..27	Revista Mexicana de Astronomia y Astrofisica, vol. 27
RMxF	Revista Mexicana de Fisica
RMxFE	Revista Mexicana de Fisica E
RMxFS	Revista Mexicana de Fisica Supplement
RNAAS	Research Notes of the American Astronomical Society
RNAO	Resultados del Observatorio Nacional Argentino
RNAOJ	Report of the National Astronomical Observatory of Japan
RNISZ	Rezultaty Nabliudenii Iskusstvennykh Sputnikov Zemli
RNOST	Research News & Opportunities in Science and Theology
ROAn	Royal Observatory Annals
ROCi	Republic Observatory Johannesburg Circular
ROCor	Resultados del Observatorio Nacional Argentino en Cordoba
ROLun	Reports of the Lund Observatory
RPFSU	Research Papers Faculty of Materials Science and Technology Slovak University of Technology
RPPh	Reports on Progress in Physics
RPRA	Radio Physics and Radio Astronomy
RPaPa	Review of Palaeobotany and Palynology
RRDAP	Recent Research Development in Applied Physics
RRDBB	Recent Research Development in Biophysics and Biochemistry
RRDBC	Recent Research Development in Biophysical Chemistry
RRDCP	Recent Research Development in Chemical Physics
RRDP	Recent Research Development in Physics
RRDPC	Recent Research Development in Physical Chemistry
RRDPF	Recent Research Development in Physics of Fluids
RRDSP	Recent Research Development in Statistical Physics
RRMPA	Revue Roumaine de Mathematiques Pures et Appliquees
RRP	Research Reports in Physics
RRPRA	Russian Radio Physics and Radio Astronomy
RSAI	Riunione della Societa Astronomica Italiana
RSASE	Remote Sensing Applications: Society and Environment
RSCAd	RSC Advances
RSCT	Transactions of the Royal Society of Canada
RSEMS	Remote Sensing Electro Magnetic Spectrum
RSEPS	Proceedings of the Royal Society of Edinburgh
RSESS	Remote Sensing in Earth Systems Sciences
RSET	Transaction of the Royal Society of Edinburgh
RSEnv	Remote Sensing of Environment
RSMS	Regional Studies in Marine Science
RSN&R	Royal Society of London Notes & Records
RSNSW	Journal and Proceedings of the Royal Society of New South Wales
RSOS	Royal Society Open Science
RSPS	Proceedings of the Royal Society of London Series I
RSPSA	Proceedings of the Royal Society of London Series A
RSPSB	Proceedings of the Royal Society of London Series B
RSPT	Philosophical Transactions of the Royal Society of London Series I
RSPTA	Philosophical Transactions of the Royal Society of London Series A
RSPTB	Philosophical Transactions of the Royal Society of London Series B
RSPUT	Report Series of the Department of Physics and Science, University of Turku
RSQ	Remote Sensing Quarterly
RST	Revue Scientifique et Technique CECLES CERS
RSTEd	Research in Science and Technological Education
RScEd	Research in Science Education
RScI	Review of Scientific Instruments
RTAMS	Representation Theory of the American Mathematical Society
RTI	Real-Time Imaging
RTP	Research Trends in Physics
RTRE	Radiotekhnika Tecommunications Radio Engineering Radio Engineering
RTRSE	Robotic Telescopes, Student Research and Education Proceedings
RTSRE	Robotic Telescope, Student Research and Education Proceedings
RTrTe	Revista Transporturilor si Telecomunicatiilor
RWPWZ	Rostock Wilhelm Pieck Universitaet Wissenschaftliche Zeitschrift Mathematisch Naturwissenschaftliche Reihe
RWTHA	Rheinisch Westfaelische Technische Hochschule Aerodynamisches Institut Abhandlungen
RZh	Referationyj Zhurnal
Ra&QE	Radiophysics and Quantum Electronics
RaEE	Radio and Electronic Engineer
RaEl	Radiotekhnika i Elektronika
RaF	Radiofizika
RaPC	Radiation Physics and Chemistry
RaRLJ	Radio Research Laboratory, Journal
RaRLR	Radio Research Laboratory, Review
RaRe	Radiation Research
RaSc	Radio Science
RaT	Radiotekhnika
Rad	Radiant, Journal of the Dutch Meteor Society
RadA	Radio Astronomy: Journal of the Society of Amateur Radio Astronomers,
RadEf	Radiation Effects
RadIn	Radio industry
RadM	Radiation Measurements
RadR	Radiation Research
Radel	Radioehlektronika
RamJ	The Ramanujan Journal
RatK	Radiotekhnika Kharkov
ReAer	La Recherche Aerospatiale
ReNEv	Research in Nondestructive Evaluation
RePol	Resources Policy
Rech	La Recherche
RemS	Remote Sensing
ResGS	Results in Geophysical Sciences
ResGc	Results in Geochemistry
ResPh	Results in Physics
Resea	Research
Rise	Rise Hvezd
RoAJ	Romanian Astronomical Journal
RoDok	Rossijskaya Akademiya Nauk Doklady
RoIE	Rossiiskaia Akademiia Nauk Izvestiia Energetika
RoIET	Rozprawy Inzynierskie Engineering Transactions
RoIMT	Rossijskaya Akademiya Nauk Izvestiya Mekhanika Tverdogo Tela
RoIMZ	Rossiiskaia Akademiia Nauk Izvestiia Mekhanika Zhidkosti i Gaza
RoISF	Rossiiskaia Akademiia Nauk Izvestiia Seriia Fizicheskaia
RoIn	Rozprawy Inzynierskie
RoIzF	Rossijskaya Akademiya Nauk Izvestiya Seriya Fizicheskaya
RoJPh	Romanian Journal of Physics
RoRPh	Romanian Reports in Physics
Robot	Robotica
Roczn	Rocznik Astronomiczny Observatorjum Krakowskiego Krakow
RomCo	Osservatorio Astronomico di Roma su Monte Mario Contributi Scientifici
RosOB	Observatorio Astronomico Municipal de Rosario Argentia  Boletin
RpBAM	USSR Report Space Biology Aerospace Medicine JPRS USB
RpCCA	USSR Report Cybernetics Computers Automation Technology JPRS UCC
RpEE	USSR Rept Eng Equipment JPRS UEQ
RpEEE	USSR Rept Electron Elec Eng JPRS UEE
RpESc	USSR Report Earth Sciences JPRS UES
RpEn	USSR Rept Energy JPRS UEN
RpMP	Reports on Mathematical Physics
RpMSM	USSR Rept Mater Sci Met JPRS
RpPhM	USSR Rept Phys Math JPRS UPM
RpSBA	USSR Rept Space Biol Aerospace Med Sep
RpScT	JPRS Report Science Technology USSR Space
RpSpR	USSR Report Space
RpTr	USSR Rept Transportation JPRS UTR
RuAer	Russian Aeronautics
RuCRv	Russian Chemical Reviews
RuGG	Russian Geology and Geophysics
RuJPC	Russian Journal of Physical Chemistry
RuMaS	Russian Mathematical Surveys
RuMet	Russian Metallurgy
RuPhJ	Russian Physics Journal
Ruimt	Ruimtevaart
RvA	Revista Astronomica Organo de la Asociacion Argengina Amigos de la Astronomia Buenos Aires
RvAMS	Reviews on Advanced Materials Science
RvAST	Reviews of Accelerator Science and Technology
RvAc	Revue d'Acoustique
RvAqS	Reviews in Aquatic Sciences
RvCF	Revista Colombiana de Fisica
RvE&S	The Review of Economics and Statistics
RvES	The Review of Economic Studies
RvGSP	Reviews of Geophysics and Space Physics
RvGeS	Reviews of Geophysics Supplement
RvGeo	Reviews of Geophysics
RvMA	Reviews in Modern Astronomy
RvMG	Reviews in Mineralogy and Geochemistry
RvMP	Reviews of Modern Physics
RvMPP	Reviews of Modern Plasma Physics
RvMPS	Reviews of Modern Physics Supplement
RvMaP	Reviews in Mathematical Physics
RvMad	Revista Real Acad. Ciencias Exact. Fis. Nat. Madrid
RvMic	Revue de micropal&eacute;ontologie
RvMin	Reviews of Mineralogy
RvOp	Reviews of Optics
RvPA	Revue de Physique Appliquee
RvPD	Revue du Palais de la Decouverte
RvPP	Reviews of Plasma Physics
RvPT	Review of Physics in Technology
RvPhy	Reviews in Physics
RvRP	Revue Roumaine de Physique
RvRRL	Reviews of the Radio Research Laboratory
RvRST	Revue Roumaine des Sciences Techniques Serie de Mecanique Appliquee
RvT	Revue Technique Thomson CSF
RvTS	Rivista Tecnica Selenia
S&GS	Science and Global Security
S&SS	Stars and Stellar Systems
S&T	Sky and Telescope
S&W	Sterne und Weltraum
SAA	Stochastic Analysis and Applications
SAAOC	South African Astronomical Observatory Circular
SAAOR	South African Astronomical Observatory Republic
SAAS	Saas-Fee Advanced Course
SAERI	Seoul Korea Atomic Energy Research Institute
SAJPh	South African Journal of Physics
SAJSc	South African Journal of Science
SAMPJ	SAMPE Journal
SAMPQ	SAMPE Quarterly
SAMS	Systems Analysis Modelling Simulation
SANUG	Srpska Akademiia Nauka i Umetnosti Glas Odeljenje Tekhnichkikh Nauka
SAOSR	SAO Special Report
SASS	Society for Astronomical Sciences Annual Symposium
SASn	Studia Astronomica Sinica
SAnAp	Supplements aux Annales d'Astrophysique
SBARM	SBARMO Bulletin
SBE	Small Business Economics
SBuil	Sustainable Buildings
SCA	Studii si Cercetari de Astronomie Bucuresti
SCB	Seminars in Cancer Biology
SCMP	Studies in Condensed Matter Physics
SCPMA	Science China Physics, Mechanics, and Astronomy
SCSA	Science and Culture Series: Astrophysics
SCSMP	Science China Series Mathematics Physics Astronomy Technological Sciences
SCSP	Science and Culture Series: Physics
SCoA	Smithsonian Contributions to Astrophysics
SCoK	Smithsonian Contributions to Knowledge
SDEE	Soil Dynamics and Earthquake Engineering
SDia	Seminars in Dialysis
SECM	Science and Engineering of Composite Materials
SEEJ	Society of Environmental Engineers Journal
SEGeo	Seismology and Exploration Geophysics
SESP	Solid Earth and Space Physics
SFCh	Science Foundation in China
SFNew	Star Formation Newsletter
SFPTB	Societe Francaise de Photogrammetrie et de Teledetection Bulletin
SFSN	Scripta Faculty Science Nat. Ujep Brunensis Physica
SGC	Stratigraphy and Geological Correlation
SGORS	Studies in Geophysical Optics and Remote Sensing
SGeo	Surveys in Geophysics
SHAN	Society for History of Astronomy News
SHEP	Surveys in High Energy Physics
SHH	Stochastic Hydrology and Hydraulics
SHM	Self-Healing Materials
SHMPS	Sources in the History of Mathematics and Physical Sciences
SHPMP	Studies in the History and Philosophy of Modern Physics
SIAM	Society of Industrial and Applied Mathematics
SIAMR	SIAM Review
SIBAN	Sofia Izdatel Bolgarskoi Akademii Nauk
SIDPQ	SID Proceedings Quarter
SIGMA	SIGMA
SISN	Science Information Systems Newsletter
SImpa	Software Impacts
SJADS	SIAM Journal on Applied Dynamical Systems
SJAM	SIAM Journal of Applied Mathematics
SJCE	Slovak Journal of Civil Engineering
SJCLI	The Scandinavian Journal of Clinical and Laboratory Investigation
SJCO	SIAM Journal of Control Optimization
SJETP	Soviet Physics JETP
SJMA	SIAM Journal of Mathematical Analysis
SJMet	Scandinavian Journal of Metallurgy
SJNA	SIAM Journal on Numerical Analysis
SJRUE	Scientific Journal of Riga Technical University. Environmental and Climate Technologies
SJRUP	Scientific Journal of Riga Technical University. Power and Electrical Engineering
SJSC	SIAM Journal on Scientific Computing
SLJP	Sri Lankan Journal of Physics
SLSci	Space Life Sciences
SMArc	Solid Mechanics Archives
SMS	Scientific Modeling and Simulation SMNS
SMSPS	Stephan Mueller Special Publication Series
SMTS	Soprotivlenie Materialov i Teoriia Sooruzhenii
SMaS	Smart Material Structures
SMat	Soft Matter
SNG	Schweizerische Naturforschende Gesellschaft
SOIL	SOIL
SOILD	SOIL Discussions
SOLA	SOLA - Scientific Online Letters on the Atmosphere
SPAW	Sitzungsberichte der K&ouml;niglich Preussischen Akademie der Wissenschaften
SPBra	Scientific Proceedings Faculty of Mechanical Engineering STU in Bratislava
SPD	AAS/Solar Physics Division Meeting
SPIE	Society of Photo-Optical Instrumentation Engineers (SPIE) Conference Series
SPIE1	Society of Photo-Optical Instrumentation Engineers (SPIE) Conference Series
SPJCE	Selected Scientific Papers - Journal of Civil Engineering
SPPhy	Springer Proceedings in Physics
SPRMD	Space Power - Resources, Manufacturing and  Development
SPTP	Soviet Physics Technical Physics
SPTS	Sensor Physics and Technology Series
SPhAc	Soviet Physics Acoustics
SPhD	Soviet Physics Doklady
SRL	Surface Review and Letters
SRMO	Specula Regia Monachiensi Observationes astronomicae
SRNew	Synchrotron Radiation News
SRPI	Safety and Reliability of Power Industry
SRT	Skin Research and Technology
SRToh	Sci. Rep. Tohoku Univ. Eighth Ser.
SRXPh	SRX Physics
SS&T	Separation Science and Technology
SSAOP	Springer Series on Atomic Optical and Plasma Physics
SSASJ	Soil Science Society of America Journal
SSCP	Springer Verlag Springer Series on Chemical Physics
SSChP	Springer Series on Chemical Physics
SSCom	Solid State Communications
SSEle	Solid State Electronics
SSEp	Springer Verlag Springer Series on Electrophysics
SSGSR	Springer Verlag Springer Series on Group Geophysics Space Research
SSHMP	Sources and Studies in the History of Mathematics and Physical Sciences
SSI	Space Science Instrumentation
SSIon	Solid State Ionics
SSNMR	Solid State Nuclear Magnetic Resonance
SSNPP	Springer Series on Nuclear and Particle Physics
SSOS	Springer Verlag Springer Series on Optical Sciences
SSPAR	Solid State Physics Advances in Research and Applications
SSPAS	Solid State Physics Advances in Research and Applications Supplement
SSPMA	Scientia Sinica Physica, Mechanica &amp; Astronomica
SSPRv	Space and Solar Power Review
SSRp	Stochastics and Stochastics Reports
SSRv	Space Science Reviews
SSRvA	Soviet Scientific Reviews A Physics Reviews
SSRvC	Soviet Scientific Reviews C Mathematical Physics Reviews
SSRvD	Soviet Scientific Reviews D Physicochemical Biology Reviews
SSS	Social Studies of Science
SSSAJ	Soil Science Society of America Journal
SSSMP	Scientia Sinica Series Mathematical Physical Technical Sciences
SSSSS	Springer Verlag Springer Series on Solid State Sciences
SSSSc	Springer Series in Surface Sciences
SSSci	Solid State Sciences
SSSyn	Springer Verlag Springer Series on Synergetics
SSTec	Solid State Technology
SSTor	Studia Societatis Scientiarum Torunensis Sectio F Astronomia
SSWP	Springer Verlag Springer Series on Wave Phenomena
SScEd	Studies in Science Education
SScT	Speculations in Science and Technology
STAdM	Science and Technology of Advanced Materials
STECF	Space Telescope European Coordinating Facility Newsletter
STERJ	Solar Terrestrial and Environmental Research Japan
STIA	NASA STI/Recon Technical Report A
STICA	Space Technology Industrial and Commercial Applications
STIN	NASA STI/Recon Technical Report N
STMP	Springer Tracts in Modern Physics
STP	Solar-Terrestrial Physics
STSSP	Selected Topics in Solid State Physics
STVF	Samoletostroenie Tekhnika Vozdushnogo Flota
SUVSR	Scandinavian Union of Amateur Astronomers Variable Star Section
SV	Shock and Vibration
SVD	Shock Vibration Digest
SVICB	Shock Vibration Information Center Shock Vibration Bulletin
SVICD	Shock Vibration Information Center Shock Vibration Digest
SVICI	Shock Vibration Information Center Shock Vibration Inform Digest
SVICP	Shock Vibration Information Center Shock Vibration Computer Programs
SVPCS	Springer Verlag Springer Series on Physics Chemistry Space
SZF	Solnechno-Zemnaya Fizika
SZPA	SIRIUS. Zeitschrift fuer Populaere Astronomie
Sadha	Sadhana
SanS	Separata Universidad de Chile Departamento de Astronomia Santiago
SatCo	Satellite Communications
SbMat	Sbornik: Mathematics
Sc&Ed	Science & Education
Sc&Te	Sciences et Techniques
ScChA	Science in China A: Mathematics
ScChB	Science in China B: Chemistry
ScChD	Science China Earth Sciences
ScChE	Science in China E: Technological Sciences
ScChG	Science in China: Physics, Mechanics and Astronomy
ScChM	Science in China e-Engineering & Materials Science
ScEdR	Science Education Research
ScM	Scripta Metallurgica
ScMM	Scripta Metallurgica et Materialia
ScPA	SciPost Astronomy
ScPP	SciPost Physics
ScPPL	SciPost Physics Lecture Notes
ScPPP	SciPost Physics Proceedings
ScPr	Science Progress
ScReE	Scholarly Research Exchange
ScTEn	Science of the Total Environment
ScTea	The Science Teacher
SchpJ	Scholarpedia
Sci	Science
SciA	Science Advances
SciAf	Scientific African
SciAm	Scientific American
SciB	Scientia (Bologna)
SciBu	Science Bulletin
SciDi	Science Dimension
SciDr	Scientific Drilling
SciEd	Science Education
SciIn	Science and Innovation
SciMo	The Scientific Monthly
SciN	Science News
SciNa	The Science of Nature
SciRS	Science of Remote Sensing
SciSn	Scientia Sinica
Scim	Scientometrics
Scis	Sciences
SeAc	Sensors and Actuators
SeAcB	Sensors And Actuators B-chemical
SeRv	Sensor Review
SeScT	Semiconductor Science Technology
SedG	Sedimentary Geology
Sedim	Sedimentology
SeiKa	Seikei-Kakou
Semic	Semiconductors
SenAR	Sendai Astronomiaj Raportoj
SenIm	Sensing and Imaging
Senso	Sensors
SerAJ	Serbian Astronomical Journal
ShMeS	Shape Memory and Superelasticity
ShWav	Shock Waves
SiFTZ	Sibirskii Fiziko Tekhnicheskii Zhurnal
SiFoE	Siemens Forschungs und Entwicklungsberichte
SiMaJ	Siberian Mathematical Journal
SiMol	Single Molecules
SiSSR	Akademiia Nauk SSSR Sibirskoe Otdelenie Izvestiia Seriia Tekhnicheskie Nauki
SidM	Sidereal Messenger
Sig	Signal
SigPr	Signal Processing
Simul	Simulation
Situ	Situ
SkInq	Skeptical Inquirer
SkyN	Sky News
SlaOb	Slaboproudy Obzor
SmCES	Smithsonian Contributions to the Earth Sciences
Smith	Smithsonian
SoByu	Soobshcheniya Byurakanskoj Observatorii Akademiya Nauk Armyanskoj SSR Erevan
SoCe	Solar Cells
SoEn	Solar Energy
SoEnM	Solar Energy Materials
SoFou	Soils and Foundations
SoGru	Akademiia Nauk Gruzii Soobshcheniia
SoKie	Sonderdrucke der Sternwarte Kiel
SoMue	Sonderdrucke Universitaet Muenster Astronomisches Institut
SoPh	Solar Physics
SoSAO	Soobshcheniya Spetsial'noj Astrofizicheskoj Observatorii
SoShe	Soobshchenie Shemakhinskoj Astrofizicheskoj Observatorii
SoSht	Soobshcheniya Gosudarstvennogo Astronomicheskogo Instituta
SoSyR	Solar System Research
SoftX	SoftwareX
SoilS	Soil Science
SolE	Solid Earth
SolED	Solid Earth Discussions
SolES	Solid Earth Sciences
Sonne	Sonne
SouSt	Southern Stars
SovAe	Soviet Aeronomii
SpCoB	Space Communication Broadcasting
SpCom	Space Communications
SpCul	Space and Culture
SpDeb	Space Debris
SpEd	Space Education
SpEng	Sports Engineering
SpFl	Spaceflight
SpMME	Space Medicine Medical Engineering
SpMar	Space Markets
SpPol	Space Policy
SpPow	Space Power
SpRBu	Space Research Bulgaria
SpReJ	Space Research Journal
SpReT	Space Research Today
SpScI	Space Science International
SpScT	Space: Science and Technology
SpT	Space Technology
SpWd	Space World
SpWdU	Space World U
SpWdW	Space World W
SpWdY	Space World Y
SpWea	Space Weather
SpaSt	Spatial Statistics
Space	Space
Spark	Spark, the AAS Education Newsletter
SpecL	Spectroscopy Letters
Spika	Spika
Spin	Spin
Spvw	Spaceview
